WKT,name,description
"POINT (100.5811858 13.8863181)",IT Square Lak Si,电子产品商场 美食广场
"POINT (100.4774967 13.71821)",First One Night Market Talat Phlu,
"POINT (100.3971688 13.7847965)",Thonburi Market Place,很多美食的本地市场，可以称海鲜，例如龙虾，帮烤熟
"POINT (100.6463239 13.7663185)",便宜水果摊,前面水果摊很便宜，有便宜榴莲，后面是水果批发市场
"POINT (100.641846 13.7673726)",BBB House - Bangkok Best Buffet House The Mall Lifestore Bangkapi,
"POINT (100.6427616 13.7677991)",Laemcharoen Seafood The Mall Bangkapi,
"POINT (100.5150623 13.7200602)",Sushiro Central Bangrak,
"POINT (100.6082376 13.7810394)",GYUMA BBQ BUFFET,
"POINT (100.6184853 13.7932442)",Mae Mungkorn Seafood Buffet @Ladprao 87,
"POINT (100.5026159 13.6774611)",Mungkorn Seafood Buffet & Fish Market,加100THB可以入空调房
"POINT (100.6473291 13.6858866)",MiVana Organic Forest Coffee,
"POINT (100.6511801 13.6938923)",Train Night Market Srinagarindra,
"POINT (100.6234867 13.7600826)",Ramkhamhaeng Night Market,
"POINT (100.6462916 13.7672294)",Bang Kapi Market,
"POINT (100.6423854 13.7699245)",Happyland Center Food Court,
"POINT (100.4777655 13.720548)",ก๋วยเตี๋ยวลูกชิ้นหมู ตลาดพลู百年手打肉丸粉,
"POINT (100.4775211 13.7207931)",Khanom Wan Talat Phlu : Thai Dessert,百年泰式甜品店
"POINT (100.5110752 13.7143961)",Kodtalay The Riverfront Seafood Buffet,
"POINT (100.5329694 13.7440671)",Pad Thai Mae Thong Bai,蟹肉饭，很多蟹肉
"POINT (100.6274388 13.9270411)",Save One Go Market Yaek Kor Por Aor,便宜夜市，N23. ~4號出口～ 出來 下樓梯 左後方 直走
打车去廊曼机场大约13分钟
"POINT (100.4773152 13.7221525)",Tek Heng 符德兴,符德興-炸米粉和煎蠔餅，有冷气
"POINT (100.4775066 13.720495)",Ni-Ang Shaved Ice Cream,生鸡蛋冰淇淋
"POINT (100.4778325 13.7208067)",Tia Yentafo,Talat Phlu火车站的红汤米粉
"POINT (100.4750035 13.7798151)",Copper Beyond Buffet The Sense Pinklao,泰国有名自助餐，市中心还有一间
"POINT (100.54552 13.7861856)",Flow,和志行去吃过，还不错，有点像酒吧
